POS	exp01	exp10
1243	6.54	12.96
1244	5.437	14.85
1245	20.22	65.68
1246	19.83	22.99
1247	2.507	15.4
1248	4.175	36.59
1249	5.737	34.81
1250	5.43	39.05
1251	5.107	34.15
1252	3.859	11.89
1253	1.727	4.833
1254	7.065	36.97
1255	27.86	61.12
1256	22.73	73.34
1257	24.92	63.89
1258	28.99	21.05
1259	11.08	8.781
1260	2.883	23.39
1261	13.54	15.82
1262	5.095	32.22
1263	9.319	41.43
1264	8.021	40.5
1265	1.074	0.5797
1266	24.55	38.19
1267	32.63	22.98
1268	11.56	7.319
1269	11.56	7.319
1270	4.558	54.41
1271	13.21	67.93
1272	1.832	32.38
1273	21.91	13.07
1274	15.61	15.76
1275	2.536	21.71
1276	4.06	14.67
1277	8.754	7.335
1278	2.696	4.48
1279	5.619	39.61
1280	22.24	29.64
1281	0.6463	7.888
1282	17.8	31.63
1283	6.66	13.37
1284	8.264	5.128
1285	11.25	23.27
1286	18.74	50.8
1287	11.63	13.16
1288	2.331	29.36
1289	5.533	1.865
1290	9.491	6.099
1291	18.32	21.2
1292	3.18	23.67
1293	3.451	24.65
1294	6.979	9.351
1295	6.731	8.725
1296	11.43	10.74
1297	30.33	37.56
1298	4.692	17.82
1299	3.278	16.01
1300	1.508	0.6503
1301	2.704	6.537
1302	10.61	16.39
1303	3.765	4.35
1304	5.687	5.627
1305	2.381	4.054
1306	7.638	12.36
1307	3.654	45.48
1308	4.15	2.725
1309	4.672	11.99
1310	7.017	8.178
1311	7.929	10.03
1312	7.017	8.178
1313	7.017	8.178
1314	7.229	16.48
1315	2.068	7.471
1316	24.08	19.51
1317	31.14	25.39
1318	11.43	17.89
1319	10.85	21.89
1320	2.808	8.504
1321	18.27	63.71
1322	4.981	7.731
1323	12.27	17.12
1324	9.332	6.059
1325	4.815	2.263
1326	7.18	27.86
1327	8.176	22.97
1328	2.642	7.499
1329	23.57	17.99
1330	3.171	2.584
1331	3.165	1.508
1332	3.165	1.508
1333	3.165	1.508
1334	8.805	7.905
1335	3.165	1.508
1336	3.165	1.508
1337	3.165	1.508
1338	3.165	1.508
1339	8.507	6.188
1340	6.599	5.134
1341	9.393	6.72
1342	3.106	2.537
1343	18	26.33
1344	1.993	1.382
1345	4.957	22.53
1346	1.829	10.67
1347	8.635	2.049
1348	3.58	29.16
1349	9.155	28.32
1350	25.66	52.95
1351	10.94	3.094
1352	2.542	6.508
1353	1.998	1.196
1354	7.83	28.18
1355	12.71	34.83
1356	4.362	5.836
1357	13.78	34.77
1358	5.693	13.47
1359	6.398	12.82
