POS	prob01	prob10
820	15.27	47.33
821	5.28	60.95
822	10.15	37.54
823	21.45	55.04
824	10.04	32.42
825	18.01	43.32
826	10.69	55.49
827	10.47	32.25
828	1.525	12.61
829	23.08	33.87
830	7.718	4.597
831	8.504	20.67
832	18.92	58.07
833	7.635	20.29
834	7.167	28.42
835	22.19	38.73
836	15.24	26.52
837	9.11	12.19
838	2.522	8.151
839	1.952	1.583
840	3.483	19.77
841	24.43	31.66
842	6.028	12.49
843	4.967	7.442
844	15.15	34.9
845	1.914	24.42
846	22.01	45.05
847	8.427	56.39
848	30.19	38.93
849	14.26	54.11
850	6.183	3.085
851	2.056	10.7
852	18.25	63.18
853	11.72	51.03
854	8.022	56.26
855	10.14	33.33
856	5.877	25.63
857	4.314	6.778
858	2.111	1.994
859	20.06	43.41
860	20.19	13.24
861	25.19	27.89
862	21.29	48.38
863	15.91	38.27
864	4.872	2.466
865	10.88	16.4
866	10.41	7.174
867	7.247	17.08
868	1.966	5.902
869	1.337	15.4
870	13.65	13.55
871	1.326	19.37
872	21.86	64.41
873	4.762	2.321
874	6.157	40.12
875	2.714	4.254
876	6.256	20.37
877	10.65	51.35
878	7.119	5.564
879	22.48	43.37
880	12.26	47.54
881	14.87	49.59
882	6.072	20.83
883	2.647	2.103
884	4.718	37.59
885	12.7	43.53
886	5.087	43.17
887	6.368	39.73
888	2.539	4.3
889	25.06	31.5
890	20.36	64.04
891	18.68	5.292
892	19.04	16.92
893	16.19	27.92
894	2.154	9.154
895	27.95	44.59
896	8.365	21.6
897	7.921	20.23
898	17.6	28.01
899	11.78	64.99
900	4.801	23.17
901	11.33	12.98
902	7.756	16.73
903	8.717	29.74
904	18.2	40.98
905	8.092	8.659
906	21.8	29.29
907	4.02	6.464
908	15.03	49.69
909	23.5	23.53
910	12.21	45.46
911	25.11	32.62
912	17.89	20.17
913	16.14	35.99
914	25.36	21.7
915	6.414	26.32
916	7.234	3.523
917	6.787	16.01
918	9.301	5.951
919	9.736	27.72
920	3.267	29.04
921	3.267	29.04
922	3.881	6.144
923	32.63	23.54
924	6.333	48.15
925	2.468	51.09
926	12.7	7.432
927	1.963	1.118
928	2.399	3.342
929	2.391	3.337
930	2.53	3.353
931	1.094	9.111
932	1.094	9.111
933	4.485	10.85
934	2.406	3.327
935	9.178	6.111
936	4.148	5.645
937	8.765	11.11
938	2.454	3.344
939	2.4	4.304
940	5.675	10.1
941	4.813	29.05
942	0.5365	20.49
943	2.305	16.27
944	2.273	16.28
945	3.096	1.37
946	3.997	3.775
947	10.17	8.116
948	7.093	51.42
949	7.189	54.23
950	3.214	3.718
951	19.8	30.29
952	15.93	25.55
953	14.85	46.97
954	16.81	24.34
955	0.8333	8.47
956	25.74	20.86
957	2.814	14.63
958	14.26	16.24
959	4.763	4.121
960	3.61	4.714
961	2.473	9.885
962	3.683	4.759
963	3.683	4.759
964	2.95	7.209
965	3.205	8.214
966	2.618	9.891
967	13.56	43.44
968	9.661	25.28
969	2.344	7.242
970	28.23	21.11
971	3.184	6.647
972	4.455	21.49
973	23.31	47.98
974	2.656	13.8
975	1.795	0.8844
976	16.7	30
977	7.396	9.044
978	2.608	9.885
979	8.835	44.7
980	2.295	7.479
981	2.31	7.487
982	6.389	38.34
983	5.257	5.357
984	9.045	5.677
985	3.063	13.61
986	3.649	18.81
987	3.649	18.81
988	5.191	13.95
989	5.406	27.92
990	7.315	20.87
991	5.456	26.73
992	6.202	62.11
993	2.43	3.346
994	2.679	10.18
995	2.313	2.802
996	21.16	33.32
997	3.084	14.73
998	10.78	23.63
999	18.69	7.694
1000	6.001	17.9
1001	19.99	34.98
1002	19.97	60.9
1003	11.13	6.91
1004	11.83	12.28
1005	4.3	16.55
1006	5.498	11.79
1007	15.46	46.3
1008	3.051	24.59
1009	13.65	52.26
1010	9.96	49.49
1011	6.942	25.19
1012	7.376	31.31
1013	14.53	49.25
1014	8.946	49.8
1015	8.75	52.45
1016	9.801	45.4
1017	0.7569	26.15
1018	1.961	30.57
1019	2.158	35.52
1020	2.084	33.58
1021	2.064	36.55
1022	7.712	24.52
1023	2.598	3.874
1024	1.627	0.9782
1025	1.627	0.9782
1026	4.251	36.35
1027	3.962	36.16
1028	6.168	26.71
1029	2.14	51.43
1030	6.385	17.65
1031	9.55	31.48
1032	5.047	5.193
1033	1.606	5.211
1034	6.179	20.4
1035	1.556	2.878
1036	1.419	1.516
1037	24.54	28.08
1038	7.737	20.73
1039	24.47	32.59
1040	8.936	7.35
1041	20.93	20.74
1042	6.547	12.3
1043	24.83	61.68
1044	3.795	10.73
1045	16.42	33.45
1046	3.559	8.469
1047	1.528	5.821
1048	5.172	12.13
1049	4.722	19.19
1050	11.31	12.57
1051	3.537	6.042
1052	6.419	23.01
1053	8.1	30.63
1054	2.282	3.956
1055	21.6	23.12
1056	16.67	19.9
1057	24.98	37.09
1058	2.265	1.387
1059	2.63	12.37
1060	2.448	5.316
1061	1.639	4.673
1062	1.317	7.811
1063	7.982	20.23
1064	9.011	20.25
1065	1.268	32.96
1066	15.17	52.73
1067	15.71	58.96
1068	2.741	14.76
1069	2.01	4.81
1070	2.734	7.5
1071	4.052	6.92
1072	4.993	8.222
1073	17.56	28.22
1074	13	22.42
1075	11.89	25.6
1076	19.97	15.09
1077	12.6	33.02
1078	1.329	1.711
1079	3.683	4.759
1080	23.04	22.31
1081	3.527	50.01
1082	4.94	37.94
1083	14.84	45.57
1084	20.12	42.03
1085	16.18	42.68
1086	21.15	18.01
1087	11.48	56.66
1088	11.62	57
1089	11.62	57
1090	11.62	57
1091	8.451	55.1
1092	19.3	61.87
1093	4.599	3.954
1094	18.66	25.18
1095	10.59	46.14
1096	6.349	2.501
1097	3.348	2.023
1098	8.839	21.26
1099	6.949	19.88
1100	7.28	19.37
1101	7.28	19.37
1102	6.84	25.2
1103	6.84	25.2
1104	2.762	6.461
1105	2.762	6.461
1106	5.985	16.74
1107	7.091	17.66
1108	7.26	12.09
1109	2.005	1.261
1110	2.005	1.261
1111	2.005	1.261
1112	24.62	26.44
1113	21.25	26.82
1114	21.25	26.82
1115	3.159	1.558
1116	10.38	21.26
1117	10.37	20.22
1118	11.55	20.42
1119	10.52	13.54
1120	10.64	10.85
1121	10.64	10.85
1122	11.15	20.77
1123	10.94	25.1
1124	10.96	24.11
1125	7.7	7.446
1126	8.316	10.89
1127	8.316	10.89
1128	11.93	14.26
1129	11.93	14.26
1130	3.444	24.57
1131	7.536	19.96
1132	7.568	19.95
1133	4.821	19.43
1134	13.73	24.51
1135	13.61	36.98
1136	13.61	36.98
1137	8.038	17.33
1138	22.73	42.86
1139	22.73	42.86
1140	3.912	4.163
1141	12.53	20.75
1142	12.53	20.75
1143	2.617	7.093
1144	2.818	7.76
1145	2.606	5.907
1146	2.617	7.093
1147	1.52	0.629
1148	8.596	13.93
1149	8.45	12.49
1150	14.78	24.32
1151	7.273	26.33
1152	9.688	17.48
1153	2.503	1.773
1154	1.468	1.725
1155	1.468	1.725
1156	1.468	1.725
1157	20.09	28.44
1158	19.22	30.23
1159	2.764	4.433
1160	2.765	3.435
1161	1.25	5.567
1162	2.381	9.974
1163	19.37	18.32
1164	10.59	22.59
1165	19.13	30.23
1166	8.861	52.08
1167	5.685	24.32
1168	14.11	15.18
1169	3.885	22.41
1170	6.792	16.33
1171	16.99	18.5
1172	2.074	35.99
1173	6.149	15.54
1174	6.28	11.01
1175	10.01	43.64
1176	5.432	9.738
1177	3.82	9.99
1178	2.402	6.548
1179	13.31	46.76
1180	6.115	4.647
1181	3.645	8.505
1182	20.06	29.22
1183	9.412	30.3
1184	14.21	23.98
1185	4.622	34.75
1186	1.921	1.416
1187	1.998	1.25
1188	3.714	3.077
1189	1.998	1.25
1190	15.71	18.77
1191	3.12	40.27
1192	23.19	55.31
1193	15.81	58.47
1194	19.3	55.81
1195	15.73	60.46
1196	2.409	7.696
1197	8.962	10.57
1198	15.14	11.06
1199	3.384	2.693
1200	1.993	1.548
1201	29.62	37.21
1202	5.247	5.376
1203	10.13	10.31
1204	8.082	13.46
1205	6.573	42.97
1206	3.34	2.438
1207	5.105	3.277
1208	4.92	21.95
1209	3.695	18.26
1210	6.798	13.3
1211	4.359	12.91
1212	8.799	17.3
1213	15.68	42.04
1214	10.58	15.24
1215	12.05	12.03
1216	1.93	1.055
1217	6.856	7.983
1218	10.76	42.81
1219	13.33	23.49
1220	5.548	4.852
1221	23.68	28.7
1222	8.892	5.282
1223	13.11	36.42
1224	6.856	7.983
1225	3.114	18.97
1226	25.89	31.49
1227	3.328	8.66
1228	23.2	30.21
1229	7.998	30.92
1230	8.287	23.01
1231	4.081	6.732
1232	4.366	3.797
1233	2.315	7.718
1234	14.16	37.28
1235	6.842	19.69
1236	1.629	5.733
1237	2.135	27.81
1238	7.784	48.65
1239	4.271	43.16
1240	3.714	39.65
1241	3.299	6.663
1242	5.763	18.4
1243	6.428	12.47
1244	5.334	14.39
1245	18.72	62.13
1246	19.27	21.86
1247	2.441	15.22
1248	4.031	35.72
1249	5.43	33.22
1250	5.332	38.34
1251	4.852	32.74
1252	3.792	11.53
1253	1.634	4.74
1254	6.904	36.65
1255	25.77	56.86
1256	20.84	68.67
1257	22.91	59.78
1258	27.63	19.61
1259	10.92	8.503
1260	2.839	22.92
1261	13.05	15.62
1262	4.838	30.85
1263	8.881	39.59
1264	7.687	39.78
1265	1.07	0.5759
1266	22.56	35.77
1267	31.22	21.71
1268	11.24	7.001
1269	11.24	7.001
1270	4.333	53.16
1271	12.05	64.79
1272	1.802	31.98
1273	20.85	12.42
1274	15.14	15.13
1275	2.515	21.45
1276	4.014	14.53
1277	8.512	7.081
1278	2.661	4.422
1279	5.405	38.95
1280	20.81	27.77
1281	0.6389	7.832
1282	16.92	30.44
1283	6.467	13.14
1284	8.225	4.965
1285	10.98	22.87
1286	17.87	48.58
1287	11.41	12.91
1288	2.279	29.06
1289	5.452	1.786
1290	9.258	5.856
1291	17.58	19.45
1292	3.114	23.54
1293	3.375	24.51
1294	6.753	9.138
1295	6.517	8.522
1296	11.06	10.39
1297	28.1	34.88
1298	4.564	17.56
1299	3.201	15.81
1300	1.5	0.6419
1301	2.665	6.491
1302	10.25	15.64
1303	3.697	4.281
1304	5.541	5.469
1305	2.348	4.018
1306	7.392	11.95
1307	3.513	44.74
1308	4.103	2.678
1309	4.563	11.82
1310	6.856	7.983
1311	7.746	9.796
1312	6.856	7.983
1313	6.856	7.983
1314	7.074	16.01
1315	2.035	7.267
1316	23.1	17.93
1317	30.08	23.61
1318	11.23	17.35
1319	10.49	21.36
1320	2.641	8.333
1321	16.84	60.44
1322	4.919	7.652
1323	12	16.72
1324	9.066	5.787
1325	4.725	2.174
1326	6.958	27.49
1327	7.938	22.62
1328	2.6	7.449
1329	21.82	16.22
1330	3.13	2.538
1331	3.125	1.468
1332	3.125	1.468
1333	3.125	1.468
1334	8.552	7.645
1335	3.125	1.468
1336	3.125	1.468
1337	3.125	1.468
1338	3.125	1.468
1339	8.267	5.944
1340	6.43	4.96
1341	9.125	6.427
1342	3.065	2.494
